,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's imports from Greenland,United States of America's imports from Greenland,United States of America's imports from Greenland,Greenland's exports to world,Greenland's exports to world,Greenland's exports to world,Greenland's exports to world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,41643,36771,28009,,1440159,1533573,1667087,,2935314152,3375948186,3172533052
3,'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",40446,33305,26081,,1195555,1239486,1333313,,23683668,25187793,21135061
4,'16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",705,950,865,,201663,259795,261098,,7350962,8130906,6814862
5,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",219,1998,647,,4564,8396,8993,,95969683,96960127,89549261
6,'99,Commodities not elsewhere specified,141,150,201,,3522,1568,3206,,120523238,117234923,124977171
7,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",45,274,75,,3494,3793,2665,,415442291,477145907,463363545
8,'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",15,0,52,,125,741,3131,,5195503,6644946,6187972
9,'97,"Works of art, collectors' pieces and antiques",26,6,38,,367,188,228,,8377261,10349607,10460361
10,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",17,8,27,,3332,2785,3620,,427918555,475932653,459195220
11,'70,Glass and glassware,0,0,11,,9,46,27,,9477975,10689376,9216582
12,'39,Plastics and articles thereof,0,3,8,,117,69,118,,82383519,89879630,72346644
13,'73,Articles of iron or steel,0,9,3,,131,201,606,,47929454,61174666,53264867
14,'74,Copper and articles thereof,0,0,0,,,,22,,16236022,15562373,14533040
15,'75,Nickel and articles thereof,0,0,0,,,232,,,2711774,4497248,4432562
16,'76,Aluminium and articles thereof,0,0,0,,6,54,45,,28738897,36664809,28296236
17,'78,Lead and articles thereof,0,0,0,,,,,,1462259,1558432,1302020
18,'79,Zinc and articles thereof,0,0,0,,,,,,2323040,3136910,2644045
19,'80,Tin and articles thereof,0,0,0,,,,,,1303853,1303704,888893
20,'81,Other base metals; cermets; articles thereof,0,0,0,,,38,11,,2363667,3986669,3683757
21,'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",0,0,0,,646,305,1202,,12320950,12673289,10993223
22,'83,Miscellaneous articles of base metal,0,0,0,,288,7,23,,15459873,17444079,14965789
23,'26,"Ores, slag and ash",0,0,0,,,729,,,3266247,3674036,3475363
24,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",0,0,0,,248,545,786,,225121448,322698860,266592032
25,'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",0,0,0,,2,4,45,,13765594,19421660,17310231
26,'29,Organic chemicals,0,0,0,,2,57,5,,64624866,75919212,66588583
27,'30,Pharmaceutical products,0,0,0,,8,106,25,,149410420,164993417,177848476
28,'31,Fertilisers,0,0,0,,,,,,10291043,13248147,9816857
29,'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",0,0,0,,2,1,3,,5198524,5908588,4922264
30,'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0,0,0,,58,9,81,,16512895,19450808,20086344
31,'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",0,0,0,,186,15,7,,5479280,6103832,5813224
32,'35,Albuminoidal substances; modified starches; glues; enzymes,0,0,0,,16,,2,,3992509,4842622,4047522
33,'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,0,0,0,,,,1,,1279439,1461142,1188316
34,'37,Photographic or cinematographic goods,0,0,0,,,,,,1587714,1662665,1413439
35,'38,Miscellaneous chemical products,0,0,0,,47,23,23,,21953891,29507737,26911031
36,'72,Iron and steel,0,0,0,,1099,721,726,,38904135,44933026,33156047
37,'01,Live animals,0,0,0,,,,,,3352771,3686856,4056241
38,'02,Meat and edible meat offal,0,0,0,,79,107,60,,11994351,12964609,12452072
39,'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",0,0,0,,31,70,2326,,2189773,3253366,3011507
40,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",0,0,0,,197,552,1745,,282898550,329648232,381037566
41,'88,"Aircraft, spacecraft, and parts thereof",0,0,0,,611,1860,482,,25494149,27148868,30158075
42,'89,"Ships, boats and floating structures",0,0,0,,15388,125,27641,,3354314,4202133,4394088
43,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",9,59,0,,2558,1781,3825,,105979496,115032958,118320238
44,'91,Clocks and watches and parts thereof,0,0,0,,13,24,26,,6374006,6846918,7099709
45,'92,Musical instruments; parts and accessories of such articles,0,0,0,,51,37,246,,1613114,1975615,1616084
46,'93,Arms and ammunition; parts and accessories thereof,0,0,0,,31,16,17,,5569831,4791362,4380573
47,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",0,2,0,,84,81,80,,81318355,86736616,69006761
48,'95,"Toys, games and sports requisites; parts and accessories thereof",0,0,0,,57,120,46,,51736985,55201125,44448292
49,'96,Miscellaneous manufactured articles,0,0,0,,1,6,10,,7878340,9074701,8021401
50,'40,Rubber and articles thereof,0,1,0,,21,71,31,,41006678,40432341,34843081
51,'41,Raw hides and skins (other than furskins) and leather,0,0,0,,25,41,70,,598841,563757,466044
52,'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",0,0,0,,4,11,17,,13929584,17447423,13924379
53,'43,Furskins and artificial fur; manufactures thereof,0,0,0,,396,342,386,,183546,213871,159235
54,'44,Wood and articles of wood; wood charcoal,15,0,0,,81,94,84,,35520074,36288065,24018724
55,'45,Cork and articles of cork,0,0,0,,,,,,319835,319948,308709
56,'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",0,0,0,,,,,,872499,874665,609481
57,'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,0,0,0,,,,,,4183759,5162377,4063794
58,'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",0,0,0,,5,50,214,,17756056,22401739,19189440
59,'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",0,0,0,,83,62,37,,5062492,5827198,5067362
60,'50,Silk,0,0,0,,,,,,52910,71732,59157
61,'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0,0,0,,589,404,711,,260717,283899,250767
62,'52,Cotton,0,0,0,,44,,3,,984961,1026616,815339
63,'53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,0,0,0,,,,,,340065,326422,244542
64,'54,Man-made filaments; strip and the like of man-made textile materials,0,0,0,,,,,,2248430,2722721,2021513
65,'55,Man-made staple fibres,0,0,0,,,,,,1938252,2142624,1713090
66,'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",0,0,0,,111,4,1,,3398784,3301695,2786665
67,'57,Carpets and other textile floor coverings,0,0,0,,,1,,,4216539,3929830,3428095
68,'58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,0,0,0,,,,,,856422,962492,818585
69,'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",5,0,0,,6,1,,,3103161,3281410,2992546
70,'60,Knitted or crocheted fabrics,0,0,0,,,,,,1092254,1248161,886594
71,'61,"Articles of apparel and clothing accessories, knitted or crocheted",0,0,0,,26,45,117,,52249668,60784841,45244512
72,'62,"Articles of apparel and clothing accessories, not knitted or crocheted",0,0,0,,274,90,166,,35037691,44567971,36346897
73,'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,0,0,0,,957,1003,898,,22017576,20880022,16829265
74,'64,"Footwear, gaiters and the like; parts of such articles",0,0,0,,38,159,26,,28407913,37966586,26791727
75,'65,Headgear and parts thereof,0,0,0,,3,,9,,3055448,4047005,3147385
76,'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",0,0,0,,,,,,786621,888161,632516
77,'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,0,0,0,,,1,2,,3333829,3685436,2536412
78,'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",0,4,0,,8,9,41,,10307522,11209812,9763904
79,'69,Ceramic products,0,0,0,,29,21,37,,8353953,9637024,7959000
80,'17,Sugars and sugar confectionery,0,0,0,,2,1,,,5276752,6474233,6938019
81,'18,Cocoa and cocoa preparations,0,0,0,,,1,,,5809447,6313982,6370822
82,'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",0,0,0,,5,,,,11037973,14028956,14836798
83,'20,"Preparations of vegetables, fruit, nuts or other parts of plants",0,0,0,,3,,,,10976028,13668877,13570806
84,'21,Miscellaneous edible preparations,0,0,0,,432,385,443,,11125287,13107006,11932595
85,'22,"Beverages, spirits and vinegar",0,0,0,,84,223,51,,30975074,33727111,30960904
86,'23,Residues and waste from the food industries; prepared animal fodder,0,0,0,,,700,1018,,4663257,5619357,5116393
87,'24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",0,0,0,,,,,,2617244,2855604,2992003
88,'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",0,0,0,,1,,,,3298274,3858466,3966288
89,'05,"Products of animal origin, not elsewhere specified or included",0,0,0,,1787,4737,5588,,1192682,1390170,1243411
90,'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",0,0,0,,,3,,,3559434,3950209,4001749
91,'07,Edible vegetables and certain roots and tubers,0,0,0,,,,18,,13483057,14744347,15444295
92,'08,Edible fruit and nuts; peel of citrus fruit or melons,0,0,0,,,,3,,22227898,24120677,24218490
93,'09,"Coffee, tea, mat̩ and spices",0,0,0,,,,,,9431815,12493454,10558710
94,'10,Cereals,0,0,0,,,,,,2387433,3357379,3588074
95,'11,Products of the milling industry; malt; starches; inulin; wheat gluten,0,0,0,,,,,,2300512,2922742,2827673
96,'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",0,0,0,,4,,11,,2903673,3515909,3188509
97,'13,"Lac; gums, resins and other vegetable saps and extracts",0,0,0,,,,,,1840866,2108440,1621001
98,'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,0,0,0,,,,,,222670,196822,161664
99,'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",0,0,0,,553,405,571,,10194217,14451440,15652636
